trip_id,device,lane,start_time,end_time,transporter
5b9d6199712fce02b77b221e,315,a,2018-09-15T19:46:33.966Z,2018-09-16T19:15:57.142Z,a
5b9d0365f402d84c04f09721,623,c,2018-09-15T13:04:37.803Z,2018-09-17T07:06:58.162Z,c
5b9cb2b19a898369b73e0e76,632,b,2018-09-15T07:20:17.063Z,2018-09-16T20:50:58.026Z,b
5b9c30e68dfd2d33bdaa38b9,612,b,2018-09-14T22:06:30.641Z,2018-09-16T12:22:01.788Z,b
5b9c0f44bf20d805d130517f,550,c,2018-09-14T19:43:00.424Z,2018-09-17T07:06:50.335Z,c
5b9c0aa6bf20d805d1304f9d,166,a,2018-09-14T19:23:18.673Z,2018-09-15T18:43:08.446Z,a
5b9b681a839d731200032684,466,c,2018-09-14T07:49:46.116Z,2018-09-16T16:38:49.216Z,c
5b9ac217351f892182b8fa08,139,b,2018-09-13T20:01:27.170Z,2018-09-15T08:35:38.901Z,d
5b9a5a3bf9066a5885abc303,618,c,2018-09-13T12:38:19.015Z,2018-09-15T21:33:05.847Z,e
5b9a2c7a2aa01f3afd1bcd12,353,b,2018-09-13T09:23:06.771Z,2018-09-14T21:12:24.203Z,b
5b9a24452aa01f3afd1bc923,512,c,2018-09-13T08:48:05.991Z,2018-09-15T07:52:30.535Z,c
5b999695e5653d1972d9e90f,529,b,2018-09-12T22:43:33.541Z,2018-09-14T09:58:28.438Z,d
5b996ef195201a6c4021853b,625,a,2018-09-12T19:54:25.687Z,2018-09-14T04:08:47.977Z,a
5b9969b2388a47451d074c0f,312,c,2018-09-12T19:32:02.742Z,2018-10-09T11:29:36.337Z,c
5b990aa6b7f2b16b99fb5caa,616,c,2018-09-12T12:46:30.463Z,2018-09-15T03:54:23.441Z,e
5b98e838f358c526b25a2186,480,b,2018-09-12T10:19:36.123Z,2018-09-14T05:03:39.227Z,b
5b98c3eb3f1f40255926c7e3,315,c,2018-09-12T07:44:43.087Z,2018-09-14T06:34:35.235Z,c
5b982efdbda97f0d0d9adfe2,514,b,2018-09-11T21:09:17.208Z,2018-09-13T11:22:51.626Z,c
5b9818b7bda97f0d0d9ad2c7,134,c,2018-09-11T19:34:15.484Z,2018-09-14T04:09:42.442Z,c
5b98127dbda97f0d0d9acebe,451,a,2018-09-11T19:07:41.898Z,2018-09-12T22:02:49.027Z,a
5b97b615bf533a50f00326de,503,c,2018-09-11T12:33:25.163Z,2018-09-14T04:09:22.325Z,e
5b97859512d4c159f12f9448,542,b,2018-09-11T09:06:29.063Z,2018-09-12T21:33:05.576Z,b
5b97834812d4c159f12f92b0,538,a,2018-09-11T08:56:40.046Z,2018-09-12T09:19:44.605Z,a
5b976ee46b0cea131f4d5c39,612,c,2018-09-11T07:29:40.549Z,2018-09-14T03:59:33.344Z,c
5b96d6cc84e07e48324b9876,141,b,2018-09-10T20:40:44.920Z,2018-09-12T08:45:08.066Z,d
5b96ca8384e07e48324b8f1e,462,c,2018-09-10T19:48:19.474Z,2018-09-12T18:17:49.400Z,c
5b96c32c84e07e48324b899f,623,a,2018-09-10T19:17:00.436Z,2018-09-12T05:23:09.611Z,a
5b9664f421ebb43bcba08b3d,444,c,2018-09-10T12:35:00.620Z,2018-09-12T22:30:41.628Z,e
5b96452217f2a006854b55c4,317,a,2018-09-10T10:19:14.486Z,2018-09-15T03:54:50.603Z,a
5b9627ff17f2a006854b448b,470,b,2018-09-10T08:14:55.450Z,2018-09-11T20:57:51.443Z,b
5b95937cf3933411bb92a504,327,b,2018-09-09T21:41:16.668Z,2018-09-11T09:48:01.840Z,c
5b958715b4fb057102baffe6,513,b,2018-09-09T20:48:21.316Z,2018-09-11T09:48:01.840Z,c
5b95770d393b05493a9a7835,552,a,2018-09-09T19:39:57.208Z,2018-09-11T04:05:27.505Z,a
5b9575b5393b05493a9a77c4,321,c,2018-09-09T19:34:13.847Z,2018-09-10T07:10:22.399Z,c
5b9513cd74c99315efc524f6,535,c,2018-09-09T12:36:29.259Z,2018-09-12T05:22:44.786Z,e
5b94e038ff2de06e70bc7de7,557,b,2018-09-09T08:56:24.697Z,2018-09-10T21:44:32.574Z,b
5b94cafe8ffcdf312c50d23c,205,c,2018-09-09T07:25:50.174Z,2018-09-11T04:01:58.006Z,c
5b9431c89b52143c0250d079,537,b,2018-09-08T20:32:08.195Z,2018-09-10T16:58:24.827Z,c
5b942a4b62072b7efac64af6,451,a,2018-09-08T20:00:11.567Z,2018-09-09T20:31:39.672Z,a
5b93ca54e227f00c0e709f79,577,c,2018-09-08T13:10:44.274Z,2018-09-11T04:03:52.862Z,e
5b93c5c7e227f00c0e709cc3,108,c,2018-09-08T12:51:19.404Z,2018-09-11T04:03:52.862Z,e
5b9388bbe227f00c0e707a60,582,b,2018-09-08T08:30:51.498Z,2018-09-09T21:34:55.470Z,b
5b938404e227f00c0e70779b,438,c,2018-09-08T08:10:44.584Z,2018-09-10T05:42:36.570Z,c
5b92f8d53839ec4ac119454a,529,b,2018-09-07T22:16:53.529Z,2018-09-09T10:37:11.261Z,d
5b92d4324da28178b9683e2a,446,c,2018-09-07T19:40:34.094Z,2018-09-10T03:35:25.393Z,c
5b92cd404da28178b96839fc,561,a,2018-09-07T19:10:56.459Z,2018-09-09T06:07:18.027Z,a
5b92759cdb328966092d2d63,435,c,2018-09-07T12:57:00.632Z,2018-09-09T20:31:31.273Z,e
5b923212df9fc54d76370914,600,b,2018-09-07T08:08:50.259Z,2018-09-08T20:38:46.910Z,b
5b922fa2df9fc54d7637081c,480,c,2018-09-07T07:58:26.067Z,2018-09-10T05:45:42.367Z,c
5b91ab6ba4d32a70cf426bce,528,b,2018-09-06T22:34:19.821Z,2018-09-09T07:12:55.374Z,c
5b91837e65e43e44bfc64c5a,557,a,2018-09-06T19:43:58.380Z,2018-09-07T20:46:54.321Z,a
5b90fb6592758e5d79fa966b,635,a,2018-09-06T10:03:17.442Z,2018-09-07T09:46:28.721Z,a
5b90df1a6d441e24fbc2da85,470,b,2018-09-06T08:02:34.734Z,2018-09-07T23:31:47.932Z,b
5b90d88b48fa2278fa5cd7c7,595,c,2018-09-06T07:34:35.787Z,2018-09-09T06:07:23.331Z,c
5b9039df7738c471f78adba8,109,b,2018-09-05T20:17:35.171Z,2018-09-07T08:48:22.871Z,d
5b8fcd94e78c5015169e0940,317,c,2018-09-05T12:35:32.003Z,2018-09-07T18:38:56.424Z,e
5b8fa8927f3e8e2ab8e2a006,511,a,2018-09-05T09:57:38.652Z,2018-09-06T10:14:34.585Z,a
5b8f9ac77f3e8e2ab8e29734,315,b,2018-09-05T08:58:47.157Z,2018-09-06T11:21:42.737Z,c
5b8f877d7f3e8e2ab8e28c58,619,c,2018-09-05T07:36:29.334Z,2018-09-07T18:05:22.022Z,c
5b8f16202a0e7e1ef02334f4,589,b,2018-09-04T23:32:48.698Z,2018-09-10T16:58:24.827Z,c
5b8ee28a3f55107c79febf75,618,c,2018-09-04T19:52:42.793Z,2018-09-06T19:59:40.661Z,c
5b8ece2df9c49d30189ffab0,543,a,2018-09-04T18:25:49.959Z,2018-09-05T18:09:00.123Z,a
5b8e81b620ca657993393fe9,533,c,2018-09-04T12:59:34.487Z,2018-09-06T18:14:59.657Z,e
5b8e7a6720ca657993393a68,622,b,2018-09-04T12:28:23.783Z,2018-09-06T02:17:47.459Z,c
5b8e46363ac79e140e8a74c2,398,a,2018-09-04T08:45:42.448Z,2018-09-05T15:22:07.276Z,a
5b8e44633ac79e140e8a7320,540,b,2018-09-04T08:37:55.366Z,2018-09-05T23:34:05.216Z,b
5b8e35e03ac79e140e8a66d8,205,c,2018-09-04T07:36:00.506Z,2018-09-06T05:36:52.453Z,c
5b8da2186e4fff08cd31f7c7,108,c,2018-09-03T21:05:28.532Z,2018-09-05T15:48:53.226Z,c
5b8d98316e4fff08cd31efe2,581,b,2018-09-03T20:23:13.900Z,2018-09-05T08:13:29.222Z,d
5b8d89791f835d43d7d75f03,353,a,2018-09-03T19:20:25.400Z,2018-09-04T18:51:52.141Z,a
5b8d2deb2d40bd1726a13532,513,c,2018-09-03T12:49:47.487Z,2018-09-06T16:00:45.075Z,e
5b8cff5d4ffe1d0a0aeea5f6,417,b,2018-09-03T09:31:09.279Z,2018-09-05T04:09:28.604Z,b
5b8cfaf94ffe1d0a0aeea37c,109,a,2018-09-03T09:12:25.051Z,2018-09-04T09:30:53.313Z,a
5b8c70d9e72a5956d1b31eb4,550,b,2018-09-02T23:23:05.297Z,2018-09-05T08:13:53.422Z,d
5b8c3b0168860413387b8241,544,c,2018-09-02T19:33:21.612Z,2018-09-04T17:31:20.669Z,c
5b8c2ee168860413387b7a87,370,a,2018-09-02T18:41:37.901Z,2018-09-03T17:21:07.086Z,a
5b8bd8e6ca003c31b94b8fc6,438,c,2018-09-02T12:34:46.157Z,2018-09-04T17:30:20.127Z,e
5b8bb64fda848d6887539a58,531,b,2018-09-02T10:07:11.272Z,2018-09-03T21:54:05.559Z,b
5b8b9ae6fe534624ec48b388,599,c,2018-09-02T08:10:14.100Z,2018-09-04T04:52:50.341Z,c
5b8b0383432d6145f0ad1547,558,c,2018-09-01T21:24:19.001Z,2018-09-03T21:47:42.574Z,c
5b8afda4432d6145f0ad1103,537,b,2018-09-01T20:59:16.962Z,2018-09-03T09:23:10.375Z,d
5b8af0f2432d6145f0ad06fb,435,a,2018-09-01T20:05:06.936Z,2018-09-02T22:42:36.462Z,a
5b8a8a393186104032ea3c5e,471,c,2018-09-01T12:46:49.081Z,2018-09-04T09:30:35.261Z,e
5b89c344d042e7356f9a84b3,597,b,2018-08-31T22:37:56.240Z,2018-09-02T09:08:20.461Z,d
5b899bcd1f1155652baf913e,446,c,2018-08-31T19:49:33.138Z,2018-09-03T16:16:59.215Z,c
5b89964c1f1155652baf8e06,545,a,2018-08-31T19:26:04.573Z,2018-09-01T20:57:46.967Z,a
5b89407e6faac34d64ef4752,542,c,2018-08-31T13:19:58.887Z,2018-09-03T11:15:13.824Z,e
5b88fb2bc04c7c1de9dbcfe3,590,a,2018-08-31T08:24:11.016Z,2018-09-01T15:10:37.230Z,a
5b88f24ce987b65cacfe72ec,470,c,2018-08-31T07:46:20.897Z,2018-09-02T16:15:37.763Z,c
5b886535fa9a9f3fb51ad81c,111,c,2018-08-30T21:44:21.512Z,2018-09-02T05:02:10.865Z,c
5b885eb941abef0aed377578,623,b,2018-08-30T21:16:41.052Z,2018-09-01T07:57:40.266Z,d
5b885ab041abef0aed377345,540,a,2018-08-30T20:59:28.339Z,2018-09-01T04:17:21.035Z,a
5b87eba33a873e2a5c221458,155,c,2018-08-30T13:05:39.783Z,2018-09-02T05:02:02.569Z,e
5b87a7449927cb12c6e0c4e2,315,b,2018-08-30T08:13:56.987Z,2018-08-31T23:56:57.103Z,b
5b87a14c9927cb12c6e0c2fe,462,c,2018-08-30T07:48:28.347Z,2018-09-01T06:08:52.748Z,c
5b8772a03091ed4567c16e5b,512,c,2018-08-30T04:29:20.470Z,2018-09-01T04:17:04.671Z,c
5b86ff236778b119deeabdb4,518,b,2018-08-29T20:16:35.862Z,2018-08-31T05:16:28.991Z,d
5b86fb236778b119deeabc27,557,a,2018-08-29T19:59:31.574Z,2018-08-30T23:41:51.844Z,a
5b86f73f6778b119deeaba91,413,c,2018-08-29T19:42:55.145Z,2018-08-31T17:40:34.598Z,c
5b866fdde04590465cb68baf,521,b,2018-08-29T10:05:17.789Z,2018-08-30T22:02:20.353Z,b
5b865176e04590465cb67ee4,529,c,2018-08-29T07:55:34.502Z,2018-08-31T09:51:32.477Z,c
5b85c8e0d6fba87d177c523a,581,c,2018-08-28T22:12:48.714Z,2018-08-30T23:41:23.362Z,c
5b85c572d6fba87d177c5104,537,b,2018-08-28T21:58:10.115Z,2018-08-30T10:03:45.547Z,d
5b85ac89231a9b35cab86ef8,569,a,2018-08-28T20:11:53.297Z,2018-08-29T22:51:10.974Z,a
5b854ede3390434321e9a3bd,532,c,2018-08-28T13:32:14.622Z,2018-08-31T05:26:51.594Z,e
5b850d435199143390644f39,558,b,2018-08-28T08:52:19.891Z,2018-08-28T21:18:34.275Z,b
5b848e910f254435253dc760,632,c,2018-08-27T23:51:45.700Z,2018-08-30T09:54:18.943Z,c
5b8463abafd9ae7b3fa6bd29,108,a,2018-08-27T20:48:43.343Z,2018-08-28T20:29:41.330Z,a
5b8456eaafd9ae7b3fa6b8f6,358,b,2018-08-27T19:54:18.584Z,2018-08-29T06:07:51.129Z,c
5b83f22e1db6017601b2338e,528,c,2018-08-27T12:44:30.444Z,2018-08-29T22:50:57.969Z,e
5b831df6a9dbdf4951ad6174,531,b,2018-08-26T21:39:02.791Z,2018-08-28T08:34:34.698Z,c
5b83063f04429208626f2c74,574,a,2018-08-26T19:57:51.355Z,2018-08-28T07:52:53.137Z,a
5b82a1ec27f97515c7781813,398,c,2018-08-26T12:49:48.727Z,2018-08-29T03:49:18.767Z,e
5b81da7fe8110024b55f98dd,550,b,2018-08-25T22:38:55.796Z,2018-08-27T10:23:13.850Z,c
5b81501e1fbfe66d58d48b88,511,c,2018-08-25T12:48:30.983Z,2018-08-28T04:19:21.994Z,e
5b8127fcd3177e520266b01a,537,a,2018-08-25T09:57:16.760Z,2018-08-26T15:11:12.226Z,a
5b81100196661d0ac90d680d,528,c,2018-08-25T08:14:57.845Z,2018-08-25T13:22:41.787Z,c
5b810bdd96661d0ac90d66f6,514,b,2018-08-25T07:57:17.078Z,2018-08-27T01:09:48.317Z,b
5b8075246d31380790b96e68,524,a,2018-08-24T21:14:12.914Z,2018-08-25T19:17:34.081Z,a
5b806fa66d31380790b96cee,557,c,2018-08-24T20:50:46.327Z,2018-08-26T17:23:16.829Z,c
5b806ead6d31380790b96cab,535,b,2018-08-24T20:46:37.825Z,2018-08-26T09:46:44.645Z,c
5b7fdc934f57105d9466eb6a,523,b,2018-08-24T10:23:15.366Z,2018-08-26T00:10:57.938Z,b
5b7f276e9ed263799439372f,542,b,2018-08-23T21:30:22.363Z,2018-08-26T01:26:37.162Z,c
